GID_2,NAME_2,pop_total,pop_c1_rural,pop_c2_urban_cluster,pop_c3_urban_centre,pop_classified_sum,pop_unclassified,prop_c1_rural_of_total,prop_c2_urban_cluster_of_total,prop_c3_urban_centre_of_total,prop_unclassified_of_total,prop_c1_rural_of_classified,prop_c2_urban_cluster_of_classified,prop_c3_urban_centre_of_classified
ZMB.2.4_2,Kitwe,769410.1553206444,108043.64918041229,145731.83044791222,515634.67569231987,769410.1553206444,0.0,0.1404239967893147,0.1894072094579774,0.6701687937527079,0.0,0.1404239967893147,0.1894072094579774,0.6701687937527079
ZMB.2.10_2,Ndola,635338.0007944107,144807.79854249954,76307.60006666183,414222.6021852493,635338.0007944107,0.0,0.22792245759176297,0.12010551859207025,0.6519720238161668,0.0,0.22792245759176297,0.12010551859207025,0.6519720238161668
ZMB.2.2_2,Chingola,279828.60988354683,64085.924802064896,27666.76491212845,188075.92016935349,279828.60988354683,0.0,0.2290184868113908,0.09887039400167917,0.67211111918693,0.0,0.2290184868113908,0.09887039400167917,0.67211111918693
ZMB.2.5_2,Luanshya,167443.77625107765,65217.13883638382,28141.20923256874,74085.42818212509,167443.77625107765,0.0,0.38948678951549914,0.1680636322389894,0.44244957824551145,0.0,0.38948678951549914,0.1680636322389894,0.44244957824551145
ZMB.2.9_2,Mufulira,166646.92986869812,33039.05681204796,22482.633649110794,111125.23940753937,166646.92986869812,0.0,0.19825781871937023,0.1349117782537306,0.6668304030268991,0.0,0.19825781871937023,0.1349117782537306,0.6668304030268991
ZMB.2.8_2,Mpongwe,128268.42875266075,107315.98782515526,20952.440927505493,0.0,128268.42875266075,0.0,0.8366516130956281,0.16334838690437192,0.0,0.0,0.8366516130956281,0.16334838690437192,0.0
ZMB.2.7_2,Masaiti,126331.80784159899,113222.76520270109,13109.042638897896,0.0,126331.80784159899,0.0,0.8962332379875806,0.10376676201241936,0.0,0.0,0.8962332379875806,0.10376676201241936,0.0
ZMB.2.1_2,Chililabombwe,113121.01743555069,41134.88988494873,16072.444438934326,55913.68311166763,113121.01743555069,0.0,0.363636137805999,0.14208185890912273,0.4942820032848782,0.0,0.363636137805999,0.14208185890912273,0.4942820032848782
ZMB.2.6_2,Lufwanyama,92096.06618082523,89995.3285626173,1372.9095165729523,727.8281016349792,92096.06618082523,0.0,0.9771897139006648,0.014907363294728842,0.007902922804606348,0.0,0.9771897139006648,0.014907363294728842,0.007902922804606348
ZMB.2.3_2,Kalulushi,77463.4946782589,52577.815697431564,22751.293633461,2134.385347366333,77463.4946782589,0.0,0.6787431410861482,0.2937034241478191,0.02755343476603277,0.0,0.6787431410861482,0.2937034241478191,0.02755343476603277
ZMB.2.3_2,Kalulushi,77463.4946782589,52577.815697431564,22751.293633461,2134.385347366333,77463.4946782589,0.0,0.6787431410861482,0.2937034241478191,0.02755343476603277,0.0,0.6787431410861482,0.2937034241478191,0.02755343476603277
ZMB.7.8_2,Mushindano,31570.73814344406,30199.182271957397,1066.9731712341309,304.58270025253296,31570.73814344406,0.0,0.9565561037801874,0.033796269393077116,0.00964762682673551,0.0,0.9565561037801874,0.033796269393077116,0.00964762682673551
